queryid_pep	pfam_id	pfam_description
evm.model.HIC_ASM_2.6945_Akon	PF08263	Leucine rich repeat N-terminal domain
evm.model.HIC_ASM_2.6945_Akon	PF13855	Leucine rich repeat
evm.model.CTG_8085.3_Akon	PF00069	Protein kinase domain
evm.model.CTG_8085.3_Akon	PF08263	Leucine rich repeat N-terminal domain
evm.model.CTG_8085.3_Akon	PF13855	Leucine rich repeat
evm.model.CTG_14753.1_Akon	PF00069	Protein kinase domain
evm.model.CTG_14753.1_Akon	PF08263	Leucine rich repeat N-terminal domain
evm.model.CTG_14753.1_Akon	PF13855	Leucine rich repeat
evm.model.HIC_ASM_2.6942_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_2.6942_Akon	PF08263	Leucine rich repeat N-terminal domain
evm.model.HIC_ASM_2.6942_Akon	PF13855	Leucine rich repeat
evm.model.HIC_ASM_2.6891_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_2.6891_Akon	PF08263	Leucine rich repeat N-terminal domain
evm.model.HIC_ASM_2.6891_Akon	PF13855	Leucine rich repeat
evm.model.CTG_4111.2_Akon	PF00069	Protein kinase domain
evm.model.CTG_4111.2_Akon	PF08263	Leucine rich repeat N-terminal domain
evm.model.CTG_4111.2_Akon	PF13855	Leucine rich repeat
evm.model.HIC_ASM_10.7323_Akon	PF00781	Diacylglycerol kinase catalytic domain
evm.model.HIC_ASM_0.5690_Akon	PF00781	Diacylglycerol kinase catalytic domain
evm.model.HIC_ASM_0.5722_Akon	PF00781	Diacylglycerol kinase catalytic domain
evm.model.CTG_19996.2_Akon	PF00781	Diacylglycerol kinase catalytic domain
evm.model.HIC_ASM_6.9531_Akon	PF07724	AAA domain (Cdc48 subfamily)
evm.model.HIC_ASM_6.9531_Akon	PF10431	C-terminal, D2-small domain, of ClpB protein
evm.model.HIC_ASM_11.663_Akon	PF07724	AAA domain (Cdc48 subfamily)
evm.model.HIC_ASM_11.663_Akon	PF10431	C-terminal, D2-small domain, of ClpB protein
evm.model.HIC_ASM_11.762_Akon	PF04548	AIG1 family
evm.model.HIC_ASM_11.854_Akon	PF04548	AIG1 family
evm.model.HIC_ASM_5.10188_Akon	PF03514	GRAS domain family
evm.model.HIC_ASM_1.1559_Akon	PF03514	GRAS domain family
evm.model.HIC_ASM_6.9542_Akon	PF03514	GRAS domain family
evm.model.HIC_ASM_6.9004_Akon	PF03514	GRAS domain family
evm.model.HIC_ASM_12.4180_Akon	PF00657	GDSL-like Lipase/Acylhydrolase
evm.model.HIC_ASM_3.3048.6_Akon	PF00450	Serine carboxypeptidase
evm.model.HIC_ASM_2.6101_evm.model.HIC_ASM_2.6109_Akon	PF01406	tRNA synthetases class I (C) catalytic domain
evm.model.HIC_ASM_3.3225_Akon	PF03810	Importin-beta N-terminal domain
evm.model.HIC_ASM_3.3225_Akon	PF08506	Cse1
evm.model.HIC_ASM_2.7374_Akon	PF04548	AIG1 family
evm.model.HIC_ASM_2.7374_Akon	PF11886	Translocase of chloroplast 159/132, membrane anchor domain
evm.model.CTG_2764.8_Akon	PF04548	AIG1 family
evm.model.CTG_2764.8_Akon	PF11886	Translocase of chloroplast 159/132, membrane anchor domain
evm.model.HIC_ASM_4.11734.2_Akon	PF05653	Magnesium transporter NIPA
evm.model.HIC_ASM_10.1749_Akon	PF00255	Glutathione peroxidase
evm.model.HIC_ASM_10.1718_Akon	PF00255	Glutathione peroxidase
evm.model.HIC_ASM_4.2906_Akon	PF16212	Phospholipid-translocating P-type ATPase C-terminal
evm.model.CTG_8244.6_Akon	PF11460	Protein of unknown function (DUF3007)
evm.model.HIC_ASM_4.2761_Akon	PF00676	Dehydrogenase E1 component
evm.model.HIC_ASM_1.345_Akon	PF00676	Dehydrogenase E1 component
evm.model.HIC_ASM_9.8343_Akon	PF00676	Dehydrogenase E1 component
evm.model.HIC_ASM_0.293_Akon	PF00676	Dehydrogenase E1 component
evm.model.HIC_ASM_5.11122_Akon	PF04576	Zein-binding
evm.model.CTG_10.4_Akon	PF04576	Zein-binding
evm.model.HIC_ASM_0.5352_Akon	PF04576	Zein-binding
evm.model.HIC_ASM_9.10427_Akon	PF00149	Calcineurin-like phosphoesterase
evm.model.HIC_ASM_9.10427_Akon	PF16656	Purple acid Phosphatase, N-terminal domain
evm.model.HIC_ASM_9.10427_Akon	PF14008	Iron/zinc purple acid phosphatase-like protein C
evm.model.HIC_ASM_0.32_Akon	PF00227	Proteasome subunit
evm.model.HIC_ASM_12.3967_Akon	PF00227	Proteasome subunit
evm.model.HIC_ASM_11.753_evm.model.HIC_ASM_11.752_Akon	PF02362	B3 DNA binding domain
evm.model.HIC_ASM_11.753_evm.model.HIC_ASM_11.752_Akon	PF02309	AUX/IAA family
evm.model.HIC_ASM_11.753_evm.model.HIC_ASM_11.752_Akon	PF06507	Auxin response factor
evm.model.HIC_ASM_1.5694_Akon	PF02362	B3 DNA binding domain
evm.model.HIC_ASM_1.5694_Akon	PF02309	AUX/IAA family
evm.model.HIC_ASM_1.5694_Akon	PF06507	Auxin response factor
evm.model.CTG_16082.1_Akon	PF02362	B3 DNA binding domain
evm.model.CTG_16082.1_Akon	PF02309	AUX/IAA family
evm.model.CTG_16082.1_Akon	PF06507	Auxin response factor
evm.model.HIC_ASM_5.9230_Akon	PF00226	DnaJ domain
evm.model.HIC_ASM_5.10823_Akon	PF05768	Glutaredoxin-like domain (DUF836)
evm.model.HIC_ASM_4.3557_Akon	PF03151	Triose-phosphate Transporter family
evm.model.HIC_ASM_2.445_Akon	PF03151	Triose-phosphate Transporter family
evm.model.CTG_9665.3_Akon	PF03151	Triose-phosphate Transporter family
evm.model.HIC_ASM_11.949_Akon	PF01230	HIT domain
evm.model.HIC_ASM_11.964_Akon	PF01230	HIT domain
evm.model.HIC_ASM_8.7344_Akon	PF03171	2OG-Fe(II) oxygenase superfamily
evm.model.HIC_ASM_8.7344_Akon	PF14226	non-haem dioxygenase in morphine synthesis N-terminal
evm.model.HIC_ASM_10.629_Akon	PF06203	CCT motif
evm.model.HIC_ASM_10.629_Akon	PF00072	Response regulator receiver domain
evm.model.CTG_784.7_Akon	PF04685	Glycosyl-hydrolase family 116, catalytic region
evm.model.CTG_784.7_Akon	PF12215	beta-glucosidase 2, glycosyl-hydrolase family 116 N-term
evm.model.HIC_ASM_9.5051_Akon	PF02990	Endomembrane protein 70
evm.model.CTG_19168.7_Akon	PF03468	XS domain
evm.model.CTG_19168.7_Akon	PF03470	XS zinc finger domain
evm.model.HIC_ASM_11.758_Akon	PF03468	XS domain
evm.model.HIC_ASM_11.758_Akon	PF03470	XS zinc finger domain
evm.model.HIC_ASM_6.1107.3_Akon	PF03468	XS domain
evm.model.HIC_ASM_6.1107.3_Akon	PF03470	XS zinc finger domain
evm.model.HIC_ASM_11.859.1_Akon	PF03468	XS domain
evm.model.HIC_ASM_11.859.1_Akon	PF03470	XS zinc finger domain
evm.model.CTG_17011.11.1_Akon	PF03468	XS domain
evm.model.CTG_17011.11.1_Akon	PF03470	XS zinc finger domain
evm.model.HIC_ASM_11.1238_Akon	PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
evm.model.HIC_ASM_0.4480_Akon	PF06979	Assembly, mitochondrial proton-transport ATP synth complex
evm.model.HIC_ASM_0.4409_Akon	PF06979	Assembly, mitochondrial proton-transport ATP synth complex
evm.model.HIC_ASM_12.3505_Akon	PF13639	Ring finger domain
evm.model.CTG_2137.2_Akon	PF13639	Ring finger domain
evm.model.HIC_ASM_10.1500.2_Akon	PF01504	Phosphatidylinositol-4-phosphate 5-Kinase
evm.model.HIC_ASM_10.1500.2_Akon	PF02493	MORN repeat
evm.model.HIC_ASM_11.6785_Akon	PF06244	Coiled-coil domain-containing protein 124
evm.model.HIC_ASM_1.2076_Akon	PF00013	KH domain
evm.model.HIC_ASM_12.4129_evm.model.HIC_ASM_12.4126_Akon	PF09763	Exocyst complex component Sec3
evm.model.HIC_ASM_12.4129_evm.model.HIC_ASM_12.4126_Akon	PF15277	Exocyst complex component SEC3 N-terminal PIP2 binding PH
evm.model.HIC_ASM_11.1727_Akon	PF17830	STI1
evm.model.CTG_1296.3_Akon	PF02602	Uroporphyrinogen-III synthase HemD
evm.model.HIC_ASM_6.7429_Akon	PF01532	Glycosyl hydrolase family 47
evm.model.HIC_ASM_1.2310_Akon	PF04398	Protein of unknown function, DUF538
evm.model.HIC_ASM_4.811_Akon	PF00657	GDSL-like Lipase/Acylhydrolase
evm.model.HIC_ASM_4.796_Akon	PF00657	GDSL-like Lipase/Acylhydrolase
evm.model.HIC_ASM_4.799_Akon	PF00657	GDSL-like Lipase/Acylhydrolase
evm.model.HIC_ASM_4.814_Akon	PF00657	GDSL-like Lipase/Acylhydrolase
evm.model.HIC_ASM_4.159_Akon	PF04900	Fcf1
evm.model.HIC_ASM_7.998_Akon	PF04900	Fcf1
evm.model.HIC_ASM_4.172_Akon	PF04900	Fcf1
evm.model.HIC_ASM_7.1008.2_Akon	PF04900	Fcf1
evm.model.HIC_ASM_9.10460_Akon	PF01027	Inhibitor of apoptosis-promoting Bax1
evm.model.CTG_8781.2_Akon	PF01027	Inhibitor of apoptosis-promoting Bax1
evm.model.HIC_ASM_3.5572_Akon	PF00860	Permease family
evm.model.HIC_ASM_12.5024_Akon	PF00860	Permease family
evm.model.CTG_20042.11_Akon	PF04749	PLAC8 family
evm.model.HIC_ASM_11.639_Akon	PF04434	SWIM zinc finger
evm.model.HIC_ASM_11.639_Akon	PF10551	MULE transposase domain
evm.model.HIC_ASM_11.639_Akon	PF03101	FAR1 DNA-binding domain
evm.model.HIC_ASM_10.4480_Akon	PF00022	Actin
evm.model.HIC_ASM_1.502_Akon	PF00249	Myb-like DNA-binding domain
evm.model.HIC_ASM_4.1321_Akon	PF00249	Myb-like DNA-binding domain
evm.model.HIC_ASM_6.303_Akon	PF00113	Enolase, C-terminal TIM barrel domain
evm.model.HIC_ASM_6.303_Akon	PF03952	Enolase, N-terminal domain
evm.model.HIC_ASM_9.10217_Akon	PF00682	HMGL-like
evm.model.HIC_ASM_0.5711_Akon	PF03874	RNA polymerase Rpb4
evm.model.HIC_ASM_12.4882_Akon	PF03874	RNA polymerase Rpb4
evm.model.HIC_ASM_4.2724_Akon	PF06217	GAGA binding protein-like family
evm.model.HIC_ASM_4.2687_Akon	PF06217	GAGA binding protein-like family
evm.model.HIC_ASM_7.3497_Akon	PF01370	NAD dependent epimerase/dehydratase family
evm.model.CTG_3531.4_Akon	PF00642	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
evm.model.HIC_ASM_8.2224_Akon	PF08022	FAD-binding domain
evm.model.HIC_ASM_8.2224_Akon	PF08414	Respiratory burst NADPH oxidase
evm.model.HIC_ASM_8.2224_Akon	PF01794	Ferric reductase like transmembrane component
evm.model.HIC_ASM_8.2224_Akon	PF08030	Ferric reductase NAD binding domain
evm.model.HIC_ASM_8.4401.1_Akon	PF04749	PLAC8 family
evm.model.HIC_ASM_11.3615_Akon	PF01743	Poly A polymerase head domain
evm.model.HIC_ASM_0.5503_Akon	PF09187	RNA-directed DNA methylation 1
evm.model.CTG_1135.4_Akon	PF09187	RNA-directed DNA methylation 1
evm.model.HIC_ASM_7.7303_Akon	PF01018	GTP1/OBG
evm.model.HIC_ASM_7.7303_Akon	PF01926	50S ribosome-binding GTPase
evm.model.HIC_ASM_7.7283_Akon	PF01018	GTP1/OBG
evm.model.HIC_ASM_7.7283_Akon	PF01926	50S ribosome-binding GTPase
evm.model.HIC_ASM_0.777_Akon	PF01585	G-patch domain
evm.model.HIC_ASM_1.1003_Akon	PF00248	Aldo/keto reductase family
evm.model.HIC_ASM_5.9637_Akon	PF02416	mttA/Hcf106 family
evm.model.HIC_ASM_5.10049.1_Akon	PF04749	PLAC8 family
evm.model.CTG_16246.1_Akon	PF04749	PLAC8 family
evm.model.HIC_ASM_11.6527_Akon	PF04749	PLAC8 family
evm.model.CTG_4354.3.1_Akon	PF04749	PLAC8 family
evm.model.CTG_6304.2_Akon	PF00759	Glycosyl hydrolase family 9
evm.model.HIC_ASM_11.519_Akon	PF00759	Glycosyl hydrolase family 9
evm.model.CTG_8406.2_Akon	PF04937	Protein of unknown function (DUF 659)
evm.model.HIC_ASM_4.12861_Akon	PF04542	Sigma-70 region 2
evm.model.HIC_ASM_4.12861_Akon	PF04545	Sigma-70, region 4
evm.model.HIC_ASM_4.12861_Akon	PF04539	Sigma-70 region 3
evm.model.HIC_ASM_0.4977_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_0.4977_Akon	PF01535	PPR repeat
evm.model.CTG_1844.3_Akon	PF01535	PPR repeat
evm.model.CTG_1844.3_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_5.8595_Akon	PF01535	PPR repeat
evm.model.HIC_ASM_5.8595_Akon	PF13041	PPR repeat family
evm.model.CTG_11993.6_Akon	PF03134	TB2/DP1, HVA22 family
evm.model.HIC_ASM_4.11957_Akon	PF03134	TB2/DP1, HVA22 family
evm.model.HIC_ASM_9.10725_Akon	PF00483	Nucleotidyl transferase
evm.model.CTG_17833.7_Akon	PF00483	Nucleotidyl transferase
evm.model.HIC_ASM_1.2953_Akon	PF12796	Ankyrin repeats (3 copies)
evm.model.HIC_ASM_4.5521_Akon	PF12796	Ankyrin repeats (3 copies)
evm.model.HIC_ASM_6.8493_Akon	PF12796	Ankyrin repeats (3 copies)
evm.model.HIC_ASM_6.441.1_Akon	PF04515	Plasma-membrane choline transporter
evm.model.HIC_ASM_5.3258_Akon	PF09766	Fms-interacting protein
evm.model.CTG_9502.8_Akon	PF00534	Glycosyl transferases group 1
evm.model.HIC_ASM_7.334_Akon	PF00534	Glycosyl transferases group 1
evm.model.HIC_ASM_0.5433_Akon	PF07983	X8 domain
evm.model.HIC_ASM_0.5433_Akon	PF00332	Glycosyl hydrolases family 17
evm.model.CTG_14469.7_Akon	PF13180	PDZ domain
evm.model.CTG_14469.7_Akon	PF17815	PDZ_3
evm.model.HIC_ASM_6.9509_Akon	PF13180	PDZ domain
evm.model.HIC_ASM_6.9509_Akon	PF17815	PDZ_3
evm.model.HIC_ASM_1.7281_Akon	PF13409	Glutathione S-transferase, N-terminal domain
evm.model.HIC_ASM_4.14216_Akon	PF13409	Glutathione S-transferase, N-terminal domain
evm.model.CTG_18832.14.2_Akon	PF13409	Glutathione S-transferase, N-terminal domain
evm.model.HIC_ASM_9.7963_Akon	PF13409	Glutathione S-transferase, N-terminal domain
evm.model.HIC_ASM_9.8566_Akon	PF13409	Glutathione S-transferase, N-terminal domain
evm.model.CTG_8662.6_Akon	PF13409	Glutathione S-transferase, N-terminal domain
evm.model.HIC_ASM_9.7966_Akon	PF13409	Glutathione S-transferase, N-terminal domain
evm.model.HIC_ASM_9.8567_Akon	PF13409	Glutathione S-transferase, N-terminal domain
evm.model.HIC_ASM_4.14213_Akon	PF13409	Glutathione S-transferase, N-terminal domain
evm.model.CTG_20042.18_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_5.12071_Akon	PF00795	Carbon-nitrogen hydrolase
evm.model.HIC_ASM_5.12063_Akon	PF00795	Carbon-nitrogen hydrolase
evm.model.HIC_ASM_8.7202_Akon	PF00658	Poly-adenylate binding protein, unique domain
evm.model.HIC_ASM_8.7202_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_8.7044_Akon	PF00658	Poly-adenylate binding protein, unique domain
evm.model.HIC_ASM_8.7044_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_6.1985_Akon	PF07714	Protein tyrosine kinase
evm.model.HIC_ASM_4.5573_Akon	PF03514	GRAS domain family
evm.model.HIC_ASM_10.1615_Akon	PF00083	Sugar (and other) transporter
evm.model.HIC_ASM_10.1611_Akon	PF00083	Sugar (and other) transporter
evm.model.HIC_ASM_6.842_Akon	PF00083	Sugar (and other) transporter
evm.model.HIC_ASM_0.4785_Akon	PF00083	Sugar (and other) transporter
evm.model.HIC_ASM_4.14615_Akon	PF00071	Ras family
evm.model.HIC_ASM_4.14615_Akon	PF08356	EF hand associated
evm.model.HIC_ASM_4.14615_Akon	PF08355	EF hand associated
evm.model.HIC_ASM_3.5723_Akon	PF00071	Ras family
evm.model.HIC_ASM_3.5723_Akon	PF08356	EF hand associated
evm.model.HIC_ASM_3.5723_Akon	PF08355	EF hand associated
evm.model.CTG_4240.3_Akon	PF00149	Calcineurin-like phosphoesterase
evm.model.CTG_4240.3_Akon	PF16656	Purple acid Phosphatase, N-terminal domain
evm.model.CTG_4240.3_Akon	PF14008	Iron/zinc purple acid phosphatase-like protein C
evm.model.HIC_ASM_4.828_Akon	PF00149	Calcineurin-like phosphoesterase
evm.model.HIC_ASM_4.828_Akon	PF16656	Purple acid Phosphatase, N-terminal domain
evm.model.HIC_ASM_4.828_Akon	PF14008	Iron/zinc purple acid phosphatase-like protein C
evm.model.HIC_ASM_4.13123_Akon	PF00534	Glycosyl transferases group 1
evm.model.HIC_ASM_10.480_Akon	PF00534	Glycosyl transferases group 1
evm.model.CTG_13337.1_Akon	PF00534	Glycosyl transferases group 1
evm.model.HIC_ASM_5.6217_Akon	PF10588	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region
evm.model.HIC_ASM_5.6217_Akon	PF09326	NADH-ubiquinone oxidoreductase subunit G, C-terminal
evm.model.HIC_ASM_5.6217_Akon	PF00384	Molybdopterin oxidoreductase
evm.model.HIC_ASM_5.11254_Akon	PF05879	Root hair defective 3 GTP-binding protein (RHD3)
evm.model.HIC_ASM_9.2251.3_Akon	PF04258	Signal peptide peptidase
evm.model.CTG_3447.11.4_Akon	PF04258	Signal peptide peptidase
evm.model.HIC_ASM_6.8408_Akon	PF02365	No apical meristem (NAM) protein
evm.model.HIC_ASM_10.2111_Akon	PF02365	No apical meristem (NAM) protein
evm.model.CTG_7310_1.1_Akon	PF01849	NAC domain
evm.model.CTG_7310_1.1_Akon	PF19026	HYPK_UBA
evm.model.HIC_ASM_9.10525_Akon	PF01849	NAC domain
evm.model.HIC_ASM_9.10525_Akon	PF19026	HYPK_UBA
evm.model.HIC_ASM_0.667_Akon	PF01849	NAC domain
evm.model.HIC_ASM_0.667_Akon	PF19026	HYPK_UBA
evm.model.HIC_ASM_9.10560_Akon	PF01849	NAC domain
evm.model.HIC_ASM_9.10560_Akon	PF19026	HYPK_UBA
evm.model.HIC_ASM_1.2371_Akon	PF17862	AAA_lid_3
evm.model.HIC_ASM_1.2371_Akon	PF09336	Vps4 C terminal oligomerisation domain
evm.model.HIC_ASM_1.2371_Akon	PF00004	ATPase family associated with various cellular activities (AAA)
evm.model.HIC_ASM_10.1052_Akon	PF02485	Core-2/I-Branching enzyme
evm.model.HIC_ASM_1.10819_Akon	PF00892	EamA-like transporter family
evm.model.HIC_ASM_1.10847_Akon	PF00892	EamA-like transporter family
evm.model.HIC_ASM_6.384_Akon	PF11891	Protein RETICULATA-related
evm.model.HIC_ASM_4.12698_Akon	PF11891	Protein RETICULATA-related
evm.model.CTG_10111.3_Akon	PF11987	Translation-initiation factor 2
evm.model.CTG_10111.3_Akon	PF00009	Elongation factor Tu GTP binding domain
evm.model.HIC_ASM_12.187_Akon	PF11987	Translation-initiation factor 2
evm.model.HIC_ASM_12.187_Akon	PF00009	Elongation factor Tu GTP binding domain
evm.model.HIC_ASM_9.2908_Akon	PF16719	SAWADEE domain
evm.model.HIC_ASM_1.4213_Akon	PF08083	PROCN (NUC071) domain
evm.model.HIC_ASM_1.4213_Akon	PF10598	RNA recognition motif of the spliceosomal PrP8
evm.model.HIC_ASM_1.4213_Akon	PF08082	PRO8NT (NUC069), PrP8 N-terminal domain
evm.model.HIC_ASM_1.4213_Akon	PF01398	JAB1/Mov34/MPN/PAD-1 ubiquitin protease
evm.model.HIC_ASM_1.4213_Akon	PF10597	U5-snRNA binding site 2 of PrP8
evm.model.HIC_ASM_1.4213_Akon	PF08084	PROCT (NUC072) domain
evm.model.HIC_ASM_1.4213_Akon	PF10596	U6-snRNA interacting domain of PrP8
evm.model.HIC_ASM_1.4213_Akon	PF12134	PRP8 domain IV core
evm.model.HIC_ASM_4.13697_Akon	PF02854	MIF4G domain
evm.model.HIC_ASM_4.13697_Akon	PF04050	Up-frameshift suppressor 2
evm.model.CTG_12735.6_Akon	PF02854	MIF4G domain
evm.model.CTG_12735.6_Akon	PF04050	Up-frameshift suppressor 2
evm.model.HIC_ASM_11.888_Akon	PF00633	Helix-hairpin-helix motif
evm.model.HIC_ASM_11.888_Akon	PF00730	HhH-GPD superfamily base excision DNA repair protein
evm.model.HIC_ASM_4.14302_Akon	PF00335	Tetraspanin family
evm.model.HIC_ASM_11.2246_Akon	PF00335	Tetraspanin family
evm.model.CTG_2877.7_Akon	PF00335	Tetraspanin family
evm.model.CTG_12794.2_Akon	PF00335	Tetraspanin family
evm.model.CTG_19498_2.13_Akon	PF00335	Tetraspanin family
evm.model.HIC_ASM_8.7289_Akon	PF00335	Tetraspanin family
evm.model.HIC_ASM_0.4809_Akon	PF02338	OTU-like cysteine protease
evm.model.HIC_ASM_8.390_Akon	PF00179	Ubiquitin-conjugating enzyme
evm.model.CTG_1595.18_Akon	PF13419	Haloacid dehalogenase-like hydrolase
evm.model.HIC_ASM_5.11557_Akon	PF13419	Haloacid dehalogenase-like hydrolase
evm.model.HIC_ASM_7.7517.2_Akon	PF08325	WLM domain
evm.model.HIC_ASM_7.7517.2_Akon	PF09409	PUB domain
evm.model.CTG_20042.22.4_Akon	PF05915	Eukaryotic protein of unknown function (DUF872)
evm.model.CTG_11463.2_Akon	PF00430	ATP synthase B/B' CF(0)
evm.model.HIC_ASM_4.785_Akon	PF00430	ATP synthase B/B' CF(0)
evm.model.HIC_ASM_10.604_Akon	PF16719	SAWADEE domain
evm.model.HIC_ASM_10.600_Akon	PF16719	SAWADEE domain
evm.model.HIC_ASM_6.9450_Akon	PF05653	Magnesium transporter NIPA
evm.model.CTG_9150.7_Akon	PF05653	Magnesium transporter NIPA
evm.model.HIC_ASM_12.4949_Akon	PF00888	Cullin family
evm.model.HIC_ASM_12.4949_Akon	PF10557	Cullin protein neddylation domain
evm.model.HIC_ASM_4.12567_Akon	PF00888	Cullin family
evm.model.HIC_ASM_4.12567_Akon	PF10557	Cullin protein neddylation domain
evm.model.HIC_ASM_6.6687.1_Akon	PF00400	WD domain, G-beta repeat
evm.model.HIC_ASM_9.8199.1_Akon	PF04499	SIT4 phosphatase-associated protein
evm.model.HIC_ASM_12.245.1_Akon	PF04499	SIT4 phosphatase-associated protein
evm.model.CTG_15308.5.1_Akon	PF04499	SIT4 phosphatase-associated protein
evm.model.CTG_16737.1_Akon	PF00069	Protein kinase domain
evm.model.CTG_16737.1_Akon	PF04564	U-box domain
evm.model.HIC_ASM_6.9427_Akon	PF00582	Universal stress protein family
evm.model.HIC_ASM_6.9427_Akon	PF00069	Protein kinase domain
evm.model.CTG_19194.1_Akon	PF11204	Protein of unknown function (DUF2985)
evm.model.CTG_19194.1_Akon	PF04749	PLAC8 family
evm.model.CTG_9658.8_Akon	PF00191	Annexin
evm.model.HIC_ASM_6.14_Akon	PF00191	Annexin
evm.model.HIC_ASM_4.100_Akon	PF07800	Protein of unknown function (DUF1644)
evm.model.CTG_6185.10_Akon	PF07800	Protein of unknown function (DUF1644)
evm.model.HIC_ASM_5.4271_Akon	PF06955	Xyloglucan endo-transglycosylase (XET) C-terminus
evm.model.HIC_ASM_5.4271_Akon	PF00722	Glycosyl hydrolases family 16
evm.model.HIC_ASM_11.691_Akon	PF08771	FKBP12-rapamycin binding domain
evm.model.HIC_ASM_11.691_Akon	PF02260	FATC domain
evm.model.HIC_ASM_11.691_Akon	PF02259	FAT domain
evm.model.HIC_ASM_11.691_Akon	PF11865	Domain of unknown function (DUF3385)
evm.model.HIC_ASM_11.691_Akon	PF00454	Phosphatidylinositol 3- and 4-kinase
evm.model.HIC_ASM_9.92_Akon	PF01113	Dihydrodipicolinate reductase, N-terminus
evm.model.HIC_ASM_9.92_Akon	PF05173	Dihydrodipicolinate reductase, C-terminus
evm.model.CTG_16903.3.1_Akon	PF08156	NOP5NT (NUC127) domain
evm.model.CTG_16903.3.1_Akon	PF01798	snoRNA binding domain, fibrillarin
evm.model.CTG_2959.6_Akon	PF04765	Protein of unknown function (DUF616)
evm.model.HIC_ASM_11.512_Akon	PF04765	Protein of unknown function (DUF616)
evm.model.CTG_8109.9_Akon	PF04765	Protein of unknown function (DUF616)
evm.model.HIC_ASM_1.653_Akon	PF00335	Tetraspanin family
evm.model.HIC_ASM_6.1719_evm.model.HIC_ASM_6.1720_Akon	PF00856	SET domain
evm.model.HIC_ASM_6.1719_evm.model.HIC_ASM_6.1720_Akon	PF10440	Ubiquitin-binding WIYLD domain
evm.model.HIC_ASM_6.1719_evm.model.HIC_ASM_6.1720_Akon	PF05033	Pre-SET motif
evm.model.HIC_ASM_10.1361_Akon	PF00856	SET domain
evm.model.HIC_ASM_10.1361_Akon	PF10440	Ubiquitin-binding WIYLD domain
evm.model.HIC_ASM_10.1361_Akon	PF05033	Pre-SET motif
evm.model.HIC_ASM_11.734_Akon	PF03101	FAR1 DNA-binding domain
evm.model.HIC_ASM_11.734_Akon	PF04434	SWIM zinc finger
evm.model.HIC_ASM_11.734_Akon	PF10551	MULE transposase domain
evm.model.HIC_ASM_11.718_Akon	PF03101	FAR1 DNA-binding domain
evm.model.HIC_ASM_11.718_Akon	PF04434	SWIM zinc finger
evm.model.HIC_ASM_11.718_Akon	PF10551	MULE transposase domain
evm.model.CTG_16144.3_Akon	PF02545	Maf-like protein
evm.model.HIC_ASM_9.728_Akon	PF02545	Maf-like protein
evm.model.HIC_ASM_6.9419_Akon	PF01301	Glycosyl hydrolases family 35
evm.model.HIC_ASM_6.9419_Akon	PF02140	Galactose binding lectin domain
evm.model.HIC_ASM_6.9419_Akon	PF17834	GHD
evm.model.HIC_ASM_12.3860_Akon	PF00560	Leucine Rich Repeat
evm.model.HIC_ASM_6.8959_Akon	PF10533	Plant zinc cluster domain
evm.model.HIC_ASM_6.8959_Akon	PF03106	WRKY DNA -binding domain
evm.model.HIC_ASM_6.8945_Akon	PF10533	Plant zinc cluster domain
evm.model.HIC_ASM_6.8945_Akon	PF03106	WRKY DNA -binding domain
evm.model.HIC_ASM_2.43_Akon	PF00664	ABC transporter transmembrane region
evm.model.HIC_ASM_2.43_Akon	PF00005	ABC transporter
evm.model.CTG_1674.6_Akon	PF00664	ABC transporter transmembrane region
evm.model.CTG_1674.6_Akon	PF00005	ABC transporter
evm.model.CTG_20010.4_Akon	PF01566	Natural resistance-associated macrophage protein
evm.model.HIC_ASM_3.5845_Akon	PF00271	Helicase conserved C-terminal domain
evm.model.HIC_ASM_3.5845_Akon	PF00176	SNF2 family N-terminal domain
evm.model.HIC_ASM_3.5845_Akon	PF14619	Snf2-ATP coupling, chromatin remodelling complex
evm.model.HIC_ASM_11.529_Akon	PF01985	CRS1 / YhbY (CRM) domain
evm.model.HIC_ASM_12.3804_Akon	PF03791	KNOX2 domain
evm.model.HIC_ASM_12.3804_Akon	PF03790	KNOX1 domain
evm.model.HIC_ASM_12.3804_Akon	PF05920	Homeobox KN domain
evm.model.HIC_ASM_12.3804_Akon	PF03789	ELK domain
evm.model.CTG_16267.4_Akon	PF03357	Snf7
evm.model.HIC_ASM_0.4878_Akon	PF03357	Snf7
evm.model.HIC_ASM_6.716_Akon	PF03357	Snf7
evm.model.HIC_ASM_9.3906_Akon	PF07651	ANTH domain
evm.model.HIC_ASM_4.210_Akon	PF07651	ANTH domain
evm.model.CTG_9669.6_Akon	PF00400	WD domain, G-beta repeat
