queryid_pep	go_id	go_term	go_domain
evm.model.HIC_ASM_2.7374_Akon	GO:0005525	GTP binding	MF
evm.model.HIC_ASM_2.7374_Akon	GO:0016817	hydrolase activity, acting on acid anhydrides	MF
evm.model.HIC_ASM_4.11734.2_Akon	GO:0015095	magnesium ion transmembrane transporter activity	MF
evm.model.HIC_ASM_4.11734.2_Akon	GO:0005886	plasma membrane	CC
evm.model.HIC_ASM_4.11734.2_Akon	GO:0005769	early endosome	CC
evm.model.HIC_ASM_4.11734.2_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_10.1749_Akon	GO:0004602	glutathione peroxidase activity	MF
evm.model.HIC_ASM_10.1749_Akon	GO:0006979	response to oxidative stress	BP
evm.model.HIC_ASM_10.1718_Akon	GO:0004602	glutathione peroxidase activity	MF
evm.model.HIC_ASM_10.1718_Akon	GO:0006979	response to oxidative stress	BP
evm.model.HIC_ASM_4.2906_Akon	GO:0140326	ATPase-coupled intramembrane lipid transporter activity	MF
evm.model.HIC_ASM_4.2906_Akon	GO:0005524	ATP binding	MF
evm.model.HIC_ASM_4.2906_Akon	GO:0015914	phospholipid transport	BP
evm.model.HIC_ASM_4.2906_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_4.2906_Akon	GO:0000287	magnesium ion binding	MF
evm.model.HIC_ASM_3.8826_evm.model.HIC_ASM_3.8827_Akon	GO:0016301	kinase activity	MF
evm.model.CTG_8244.6_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_1.345_Akon	GO:0043231	intracellular membrane-bounded organelle	CC
evm.model.HIC_ASM_1.345_Akon	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	BP
evm.model.HIC_ASM_1.345_Akon	GO:0006096	glycolytic process	BP
evm.model.HIC_ASM_1.345_Akon	GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity	MF
evm.model.HIC_ASM_9.8343_Akon	GO:0043231	intracellular membrane-bounded organelle	CC
evm.model.HIC_ASM_9.8343_Akon	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	BP
evm.model.HIC_ASM_9.8343_Akon	GO:0006096	glycolytic process	BP
evm.model.HIC_ASM_9.8343_Akon	GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity	MF
evm.model.HIC_ASM_0.293_Akon	GO:0043231	intracellular membrane-bounded organelle	CC
evm.model.HIC_ASM_0.293_Akon	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	BP
evm.model.HIC_ASM_0.293_Akon	GO:0006096	glycolytic process	BP
evm.model.HIC_ASM_0.293_Akon	GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity	MF
evm.model.HIC_ASM_4.2761_Akon	GO:0043231	intracellular membrane-bounded organelle	CC
evm.model.HIC_ASM_4.2761_Akon	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	BP
evm.model.HIC_ASM_4.2761_Akon	GO:0006096	glycolytic process	BP
evm.model.HIC_ASM_4.2761_Akon	GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity	MF
evm.model.CTG_19184.1.1_Akon	GO:0016787	hydrolase activity	MF
evm.model.HIC_ASM_9.10427_Akon	GO:0003993	acid phosphatase activity	MF
evm.model.HIC_ASM_9.10427_Akon	GO:0046872	metal ion binding	MF
evm.model.HIC_ASM_0.32_Akon	GO:0051603	proteolysis involved in cellular protein catabolic process	BP
evm.model.HIC_ASM_0.32_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_0.32_Akon	GO:0005737	cytoplasm	CC
evm.model.HIC_ASM_0.32_Akon	GO:0004298	threonine-type endopeptidase activity	MF
evm.model.HIC_ASM_0.32_Akon	GO:0005839	proteasome core complex	CC
evm.model.HIC_ASM_12.3967_Akon	GO:0051603	proteolysis involved in cellular protein catabolic process	BP
evm.model.HIC_ASM_12.3967_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_12.3967_Akon	GO:0005737	cytoplasm	CC
evm.model.HIC_ASM_12.3967_Akon	GO:0004298	threonine-type endopeptidase activity	MF
evm.model.HIC_ASM_12.3967_Akon	GO:0005839	proteasome core complex	CC
evm.model.HIC_ASM_11.753_evm.model.HIC_ASM_11.752_Akon	GO:0006355	regulation of transcription, DNA-templated	BP
evm.model.HIC_ASM_11.753_evm.model.HIC_ASM_11.752_Akon	GO:0003677	DNA binding	MF
evm.model.HIC_ASM_11.753_evm.model.HIC_ASM_11.752_Akon	GO:0009734	auxin-activated signaling pathway	BP
evm.model.HIC_ASM_11.753_evm.model.HIC_ASM_11.752_Akon	GO:0005634	nucleus	CC
evm.model.CTG_16082.1_Akon	GO:0006355	regulation of transcription, DNA-templated	BP
evm.model.CTG_16082.1_Akon	GO:0003677	DNA binding	MF
evm.model.CTG_16082.1_Akon	GO:0009734	auxin-activated signaling pathway	BP
evm.model.CTG_16082.1_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_1.5694_Akon	GO:0006355	regulation of transcription, DNA-templated	BP
evm.model.HIC_ASM_1.5694_Akon	GO:0003677	DNA binding	MF
evm.model.HIC_ASM_1.5694_Akon	GO:0009734	auxin-activated signaling pathway	BP
evm.model.HIC_ASM_1.5694_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_5.10823_Akon	GO:0003743	translation initiation factor activity	MF
evm.model.HIC_ASM_5.10823_Akon	GO:0055114	obsolete oxidation-reduction process	BP
evm.model.HIC_ASM_2.445_Akon	GO:0016021	integral component of membrane	CC
evm.model.CTG_9665.3_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_4.3557_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_11.949_Akon	GO:0003824	catalytic activity	MF
evm.model.HIC_ASM_11.964_Akon	GO:0003824	catalytic activity	MF
evm.model.HIC_ASM_8.7344_Akon	GO:0046872	metal ion binding	MF
evm.model.HIC_ASM_8.7344_Akon	GO:0051213	dioxygenase activity	MF
evm.model.HIC_ASM_10.629_Akon	GO:0048511	rhythmic process	BP
evm.model.HIC_ASM_10.629_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_10.629_Akon	GO:0000160	phosphorelay signal transduction system	BP
evm.model.CTG_784.7_Akon	GO:0016020	membrane	CC
evm.model.CTG_784.7_Akon	GO:0005975	carbohydrate metabolic process	BP
evm.model.CTG_784.7_Akon	GO:0004348	glucosylceramidase activity	MF
evm.model.CTG_784.7_Akon	GO:0006680	glucosylceramide catabolic process	BP
evm.model.HIC_ASM_9.5051_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_9.5051_Akon	GO:0000139	Golgi membrane	CC
evm.model.HIC_ASM_9.5051_Akon	GO:0010008	endosome membrane	CC
evm.model.HIC_ASM_11.758_Akon	GO:0031047	gene silencing by RNA	BP
evm.model.HIC_ASM_6.1107.3_Akon	GO:0031047	gene silencing by RNA	BP
evm.model.CTG_19168.7_Akon	GO:0031047	gene silencing by RNA	BP
evm.model.CTG_17011.11.1_Akon	GO:0031047	gene silencing by RNA	BP
evm.model.HIC_ASM_11.859.1_Akon	GO:0031047	gene silencing by RNA	BP
evm.model.HIC_ASM_11.1238_Akon	GO:0006457	protein folding	BP
evm.model.HIC_ASM_11.1238_Akon	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	MF
evm.model.HIC_ASM_0.4480_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_0.4409_Akon	GO:0016021	integral component of membrane	CC
evm.model.CTG_2137.2_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_12.3505_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_10.1500.2_Akon	GO:0005524	ATP binding	MF
evm.model.HIC_ASM_10.1500.2_Akon	GO:0016308	1-phosphatidylinositol-4-phosphate 5-kinase activity	MF
evm.model.HIC_ASM_1.2076_Akon	GO:0003723	RNA binding	MF
evm.model.HIC_ASM_12.4129_evm.model.HIC_ASM_12.4126_Akon	GO:0000145	exocyst	CC
evm.model.HIC_ASM_12.4129_evm.model.HIC_ASM_12.4126_Akon	GO:0006887	exocytosis	BP
evm.model.HIC_ASM_11.1727_Akon	GO:0016021	integral component of membrane	CC
evm.model.CTG_1296.3_Akon	GO:0004852	uroporphyrinogen-III synthase activity	MF
evm.model.CTG_1296.3_Akon	GO:0006782	protoporphyrinogen IX biosynthetic process	BP
evm.model.HIC_ASM_7.7518_Akon	GO:0008017	microtubule binding	MF
evm.model.HIC_ASM_7.7518_Akon	GO:0005874	microtubule	CC
evm.model.HIC_ASM_7.7518_Akon	GO:0000226	microtubule cytoskeleton organization	BP
evm.model.HIC_ASM_6.7429_Akon	GO:0005975	carbohydrate metabolic process	BP
evm.model.HIC_ASM_6.7429_Akon	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	MF
evm.model.HIC_ASM_6.7429_Akon	GO:0016020	membrane	CC
evm.model.HIC_ASM_6.7429_Akon	GO:0005509	calcium ion binding	MF
evm.model.HIC_ASM_4.811_Akon	GO:0016788	hydrolase activity, acting on ester bonds	MF
evm.model.HIC_ASM_4.814_Akon	GO:0016788	hydrolase activity, acting on ester bonds	MF
evm.model.HIC_ASM_4.796_Akon	GO:0016788	hydrolase activity, acting on ester bonds	MF
evm.model.HIC_ASM_4.799_Akon	GO:0016788	hydrolase activity, acting on ester bonds	MF
evm.model.HIC_ASM_4.172_Akon	GO:0006364	rRNA processing	BP
evm.model.HIC_ASM_4.172_Akon	GO:0032040	small-subunit processome	CC
evm.model.HIC_ASM_4.172_Akon	GO:0005730	nucleolus	CC
evm.model.HIC_ASM_7.1008.2_Akon	GO:0006364	rRNA processing	BP
evm.model.HIC_ASM_7.1008.2_Akon	GO:0032040	small-subunit processome	CC
evm.model.HIC_ASM_7.1008.2_Akon	GO:0005730	nucleolus	CC
evm.model.HIC_ASM_7.998_Akon	GO:0006364	rRNA processing	BP
evm.model.HIC_ASM_7.998_Akon	GO:0032040	small-subunit processome	CC
evm.model.HIC_ASM_7.998_Akon	GO:0005730	nucleolus	CC
evm.model.HIC_ASM_4.159_Akon	GO:0006364	rRNA processing	BP
evm.model.HIC_ASM_4.159_Akon	GO:0032040	small-subunit processome	CC
evm.model.HIC_ASM_4.159_Akon	GO:0005730	nucleolus	CC
evm.model.HIC_ASM_9.10460_Akon	GO:0016021	integral component of membrane	CC
evm.model.CTG_8781.2_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_12.5024_Akon	GO:0022857	transmembrane transporter activity	MF
evm.model.HIC_ASM_12.5024_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_3.5572_Akon	GO:0022857	transmembrane transporter activity	MF
evm.model.HIC_ASM_3.5572_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_11.639_Akon	GO:0008270	zinc ion binding	MF
evm.model.HIC_ASM_11.639_Akon	GO:0006355	regulation of transcription, DNA-templated	BP
evm.model.HIC_ASM_11.639_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_6.303_Akon	GO:0006096	glycolytic process	BP
evm.model.HIC_ASM_6.303_Akon	GO:0000287	magnesium ion binding	MF
evm.model.HIC_ASM_6.303_Akon	GO:0004634	phosphopyruvate hydratase activity	MF
evm.model.HIC_ASM_6.303_Akon	GO:0000015	phosphopyruvate hydratase complex	CC
evm.model.HIC_ASM_11.1685_Akon	GO:0016874	ligase activity	MF
evm.model.HIC_ASM_9.10217_Akon	GO:0046951	ketone body biosynthetic process	BP
evm.model.HIC_ASM_9.10217_Akon	GO:0005739	mitochondrion	CC
evm.model.HIC_ASM_9.10217_Akon	GO:0004419	hydroxymethylglutaryl-CoA lyase activity	MF
evm.model.HIC_ASM_12.4882_Akon	GO:0006352	DNA-templated transcription, initiation	BP
evm.model.HIC_ASM_12.4882_Akon	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	MF
evm.model.HIC_ASM_12.4882_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_12.4882_Akon	GO:0000166	nucleotide binding	MF
evm.model.HIC_ASM_12.4882_Akon	GO:0030880	RNA polymerase complex	CC
evm.model.HIC_ASM_0.5711_Akon	GO:0006352	DNA-templated transcription, initiation	BP
evm.model.HIC_ASM_0.5711_Akon	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	MF
evm.model.HIC_ASM_0.5711_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_0.5711_Akon	GO:0000166	nucleotide binding	MF
evm.model.HIC_ASM_0.5711_Akon	GO:0030880	RNA polymerase complex	CC
evm.model.HIC_ASM_4.2687_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_4.2724_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_7.3497_Akon	GO:0003824	catalytic activity	MF
evm.model.CTG_3531.4_Akon	GO:0003677	DNA binding	MF
evm.model.CTG_3531.4_Akon	GO:0046872	metal ion binding	MF
evm.model.HIC_ASM_8.2224_Akon	GO:0050664	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor	MF
evm.model.HIC_ASM_8.2224_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_8.2224_Akon	GO:0005509	calcium ion binding	MF
evm.model.HIC_ASM_8.2224_Akon	GO:0004601	peroxidase activity	MF
evm.model.HIC_ASM_11.3615_Akon	GO:0003723	RNA binding	MF
evm.model.HIC_ASM_11.3615_Akon	GO:0016779	nucleotidyltransferase activity	MF
evm.model.HIC_ASM_11.3615_Akon	GO:0006396	RNA processing	BP
evm.model.CTG_1135.4_Akon	GO:0044030	regulation of DNA methylation	BP
evm.model.CTG_1135.4_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_0.5503_Akon	GO:0044030	regulation of DNA methylation	BP
evm.model.HIC_ASM_0.5503_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_7.7283_Akon	GO:0005525	GTP binding	MF
evm.model.HIC_ASM_7.7303_Akon	GO:0005525	GTP binding	MF
evm.model.HIC_ASM_0.777_Akon	GO:0003676	nucleic acid binding	MF
evm.model.HIC_ASM_1.1003_Akon	GO:0016491	oxidoreductase activity	MF
evm.model.HIC_ASM_5.9637_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_5.9637_Akon	GO:0009579	thylakoid	CC
evm.model.HIC_ASM_5.9637_Akon	GO:0043953	protein transport by the Tat complex	BP
evm.model.HIC_ASM_11.519_Akon	GO:0008810	cellulase activity	MF
evm.model.HIC_ASM_11.519_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_11.519_Akon	GO:0030245	cellulose catabolic process	BP
evm.model.CTG_6304.2_Akon	GO:0008810	cellulase activity	MF
evm.model.CTG_6304.2_Akon	GO:0016021	integral component of membrane	CC
evm.model.CTG_6304.2_Akon	GO:0030245	cellulose catabolic process	BP
evm.model.HIC_ASM_8.7164.5_Akon	GO:0016301	kinase activity	MF
evm.model.HIC_ASM_4.12861_Akon	GO:0003677	DNA binding	MF
evm.model.HIC_ASM_4.12861_Akon	GO:0016987	sigma factor activity	MF
evm.model.HIC_ASM_4.12861_Akon	GO:0006352	DNA-templated transcription, initiation	BP
evm.model.HIC_ASM_4.12861_Akon	GO:0003700	DNA-binding transcription factor activity	MF
evm.model.CTG_11993.6_Akon	GO:0016020	membrane	CC
evm.model.HIC_ASM_4.11957_Akon	GO:0016020	membrane	CC
evm.model.CTG_17833.7_Akon	GO:0009507	chloroplast	CC
evm.model.CTG_17833.7_Akon	GO:0019252	starch biosynthetic process	BP
evm.model.CTG_17833.7_Akon	GO:0005978	glycogen biosynthetic process	BP
evm.model.CTG_17833.7_Akon	GO:0005524	ATP binding	MF
evm.model.CTG_17833.7_Akon	GO:0008878	glucose-1-phosphate adenylyltransferase activity	MF
evm.model.HIC_ASM_9.10725_Akon	GO:0009507	chloroplast	CC
evm.model.HIC_ASM_9.10725_Akon	GO:0019252	starch biosynthetic process	BP
evm.model.HIC_ASM_9.10725_Akon	GO:0005978	glycogen biosynthetic process	BP
evm.model.HIC_ASM_9.10725_Akon	GO:0005524	ATP binding	MF
evm.model.HIC_ASM_9.10725_Akon	GO:0008878	glucose-1-phosphate adenylyltransferase activity	MF
evm.model.HIC_ASM_6.441.1_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_5.3258_Akon	GO:0005634	nucleus	CC
evm.model.CTG_9502.8_Akon	GO:0016021	integral component of membrane	CC
evm.model.CTG_9502.8_Akon	GO:0016757	transferase activity, transferring glycosyl groups	MF
evm.model.HIC_ASM_7.334_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_7.334_Akon	GO:0016757	transferase activity, transferring glycosyl groups	MF
evm.model.HIC_ASM_0.5433_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_0.5433_Akon	GO:0005975	carbohydrate metabolic process	BP
evm.model.HIC_ASM_0.5433_Akon	GO:0042973	glucan endo-1,3-beta-D-glucosidase activity	MF
evm.model.HIC_ASM_6.9509_Akon	GO:0004252	serine-type endopeptidase activity	MF
evm.model.CTG_14469.7_Akon	GO:0004252	serine-type endopeptidase activity	MF
evm.model.HIC_ASM_9.7966_Akon	GO:0004364	glutathione transferase activity	MF
evm.model.HIC_ASM_9.8566_Akon	GO:0004364	glutathione transferase activity	MF
evm.model.HIC_ASM_9.8567_Akon	GO:0004364	glutathione transferase activity	MF
evm.model.CTG_8662.6_Akon	GO:0004364	glutathione transferase activity	MF
evm.model.HIC_ASM_9.7963_Akon	GO:0004364	glutathione transferase activity	MF
evm.model.HIC_ASM_4.14216_Akon	GO:0004364	glutathione transferase activity	MF
evm.model.HIC_ASM_1.7281_Akon	GO:0004364	glutathione transferase activity	MF
evm.model.HIC_ASM_4.14213_Akon	GO:0004364	glutathione transferase activity	MF
evm.model.CTG_18832.14.2_Akon	GO:0004364	glutathione transferase activity	MF
evm.model.CTG_20042.18_Akon	GO:0003723	RNA binding	MF
evm.model.HIC_ASM_5.12071_Akon	GO:0050126	N-carbamoylputrescine amidase activity	MF
evm.model.HIC_ASM_5.12071_Akon	GO:0006596	polyamine biosynthetic process	BP
evm.model.HIC_ASM_5.12063_Akon	GO:0050126	N-carbamoylputrescine amidase activity	MF
evm.model.HIC_ASM_5.12063_Akon	GO:0006596	polyamine biosynthetic process	BP
evm.model.HIC_ASM_8.7044_Akon	GO:0003723	RNA binding	MF
evm.model.HIC_ASM_8.7044_Akon	GO:0005737	cytoplasm	CC
evm.model.HIC_ASM_8.7202_Akon	GO:0003723	RNA binding	MF
evm.model.HIC_ASM_8.7202_Akon	GO:0005737	cytoplasm	CC
evm.model.HIC_ASM_6.1985_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_6.1985_Akon	GO:0004674	protein serine/threonine kinase activity	MF
evm.model.HIC_ASM_6.1985_Akon	GO:0005524	ATP binding	MF
evm.model.HIC_ASM_10.1615_Akon	GO:0015293	symporter activity	MF
evm.model.HIC_ASM_10.1615_Akon	GO:0006817	phosphate ion transport	BP
evm.model.HIC_ASM_10.1615_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_10.1615_Akon	GO:0005315	inorganic phosphate transmembrane transporter activity	MF
evm.model.HIC_ASM_0.4785_Akon	GO:0015293	symporter activity	MF
evm.model.HIC_ASM_0.4785_Akon	GO:0006817	phosphate ion transport	BP
evm.model.HIC_ASM_0.4785_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_0.4785_Akon	GO:0005315	inorganic phosphate transmembrane transporter activity	MF
evm.model.HIC_ASM_10.1611_Akon	GO:0015293	symporter activity	MF
evm.model.HIC_ASM_10.1611_Akon	GO:0006817	phosphate ion transport	BP
evm.model.HIC_ASM_10.1611_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_10.1611_Akon	GO:0005315	inorganic phosphate transmembrane transporter activity	MF
evm.model.HIC_ASM_6.842_Akon	GO:0015293	symporter activity	MF
evm.model.HIC_ASM_6.842_Akon	GO:0006817	phosphate ion transport	BP
evm.model.HIC_ASM_6.842_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_6.842_Akon	GO:0005315	inorganic phosphate transmembrane transporter activity	MF
evm.model.HIC_ASM_4.14615_Akon	GO:0005509	calcium ion binding	MF
evm.model.HIC_ASM_4.14615_Akon	GO:0031307	integral component of mitochondrial outer membrane	CC
evm.model.HIC_ASM_4.14615_Akon	GO:0005525	GTP binding	MF
evm.model.HIC_ASM_4.14615_Akon	GO:0003924	GTPase activity	MF
evm.model.HIC_ASM_4.14615_Akon	GO:0007005	mitochondrion organization	BP
evm.model.HIC_ASM_3.5723_Akon	GO:0005509	calcium ion binding	MF
evm.model.HIC_ASM_3.5723_Akon	GO:0031307	integral component of mitochondrial outer membrane	CC
evm.model.HIC_ASM_3.5723_Akon	GO:0005525	GTP binding	MF
evm.model.HIC_ASM_3.5723_Akon	GO:0003924	GTPase activity	MF
evm.model.HIC_ASM_3.5723_Akon	GO:0007005	mitochondrion organization	BP
evm.model.CTG_4240.3_Akon	GO:0003993	acid phosphatase activity	MF
evm.model.CTG_4240.3_Akon	GO:0046872	metal ion binding	MF
evm.model.HIC_ASM_4.828_Akon	GO:0003993	acid phosphatase activity	MF
evm.model.HIC_ASM_4.828_Akon	GO:0046872	metal ion binding	MF
evm.model.HIC_ASM_4.13123_Akon	GO:0016757	transferase activity, transferring glycosyl groups	MF
evm.model.HIC_ASM_10.480_Akon	GO:0016757	transferase activity, transferring glycosyl groups	MF
evm.model.CTG_13337.1_Akon	GO:0016757	transferase activity, transferring glycosyl groups	MF
evm.model.HIC_ASM_5.6217_Akon	GO:0046872	metal ion binding	MF
evm.model.HIC_ASM_5.6217_Akon	GO:0051539	4 iron, 4 sulfur cluster binding	MF
evm.model.HIC_ASM_5.6217_Akon	GO:0042773	ATP synthesis coupled electron transport	BP
evm.model.HIC_ASM_5.6217_Akon	GO:0009055	electron transfer activity	MF
evm.model.HIC_ASM_5.6217_Akon	GO:0008137	NADH dehydrogenase (ubiquinone) activity	MF
evm.model.HIC_ASM_5.6217_Akon	GO:0005743	mitochondrial inner membrane	CC
evm.model.HIC_ASM_5.11254_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_5.11254_Akon	GO:0005789	endoplasmic reticulum membrane	CC
evm.model.HIC_ASM_5.11254_Akon	GO:0005525	GTP binding	MF
evm.model.HIC_ASM_5.11254_Akon	GO:0003924	GTPase activity	MF
evm.model.HIC_ASM_9.2251.3_Akon	GO:0004190	aspartic-type endopeptidase activity	MF
evm.model.HIC_ASM_9.2251.3_Akon	GO:0016021	integral component of membrane	CC
evm.model.CTG_3447.11.4_Akon	GO:0004190	aspartic-type endopeptidase activity	MF
evm.model.CTG_3447.11.4_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_6.8408_Akon	GO:0003677	DNA binding	MF
evm.model.HIC_ASM_6.8408_Akon	GO:0006355	regulation of transcription, DNA-templated	BP
evm.model.HIC_ASM_10.2111_Akon	GO:0003677	DNA binding	MF
evm.model.HIC_ASM_10.2111_Akon	GO:0006355	regulation of transcription, DNA-templated	BP
evm.model.HIC_ASM_0.667_Akon	GO:0005854	nascent polypeptide-associated complex	CC
evm.model.CTG_7310_1.1_Akon	GO:0005854	nascent polypeptide-associated complex	CC
evm.model.HIC_ASM_9.10525_Akon	GO:0005854	nascent polypeptide-associated complex	CC
evm.model.HIC_ASM_9.10560_Akon	GO:0005854	nascent polypeptide-associated complex	CC
evm.model.HIC_ASM_1.2371_Akon	GO:0005524	ATP binding	MF
evm.model.HIC_ASM_1.2371_Akon	GO:0008568	microtubule-severing ATPase activity	MF
evm.model.HIC_ASM_1.2371_Akon	GO:0005874	microtubule	CC
evm.model.HIC_ASM_1.2371_Akon	GO:0008017	microtubule binding	MF
evm.model.HIC_ASM_1.2371_Akon	GO:0005737	cytoplasm	CC
evm.model.HIC_ASM_1.2371_Akon	GO:0016853	isomerase activity	MF
evm.model.HIC_ASM_1.2551_Akon	GO:0010206	photosystem II repair	BP
evm.model.HIC_ASM_10.1052_Akon	GO:0016757	transferase activity, transferring glycosyl groups	MF
evm.model.HIC_ASM_10.1052_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_1.10819_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_1.10847_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_9.574_Akon	GO:0070814	hydrogen sulfide biosynthetic process	BP
evm.model.HIC_ASM_9.574_Akon	GO:0000103	sulfate assimilation	BP
evm.model.HIC_ASM_9.574_Akon	GO:0005524	ATP binding	MF
evm.model.HIC_ASM_9.574_Akon	GO:0004020	adenylylsulfate kinase activity	MF
evm.model.CTG_9045.4.4_Akon	GO:0070814	hydrogen sulfide biosynthetic process	BP
evm.model.CTG_9045.4.4_Akon	GO:0000103	sulfate assimilation	BP
evm.model.CTG_9045.4.4_Akon	GO:0005524	ATP binding	MF
evm.model.CTG_9045.4.4_Akon	GO:0004020	adenylylsulfate kinase activity	MF
evm.model.CTG_9661.3_Akon	GO:0070814	hydrogen sulfide biosynthetic process	BP
evm.model.CTG_9661.3_Akon	GO:0000103	sulfate assimilation	BP
evm.model.CTG_9661.3_Akon	GO:0005524	ATP binding	MF
evm.model.CTG_9661.3_Akon	GO:0004020	adenylylsulfate kinase activity	MF
evm.model.HIC_ASM_6.384_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_6.384_Akon	GO:0031969	chloroplast membrane	CC
evm.model.HIC_ASM_4.12698_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_4.12698_Akon	GO:0031969	chloroplast membrane	CC
evm.model.CTG_10111.3_Akon	GO:0003743	translation initiation factor activity	MF
evm.model.CTG_10111.3_Akon	GO:0003924	GTPase activity	MF
evm.model.CTG_10111.3_Akon	GO:0005525	GTP binding	MF
evm.model.HIC_ASM_12.187_Akon	GO:0003743	translation initiation factor activity	MF
evm.model.HIC_ASM_12.187_Akon	GO:0003924	GTPase activity	MF
evm.model.HIC_ASM_12.187_Akon	GO:0005525	GTP binding	MF
evm.model.HIC_ASM_9.2908_Akon	GO:0003682	chromatin binding	MF
evm.model.HIC_ASM_9.2908_Akon	GO:0003677	DNA binding	MF
evm.model.HIC_ASM_9.2908_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_1.4213_Akon	GO:0008237	metallopeptidase activity	MF
evm.model.HIC_ASM_1.4213_Akon	GO:0000398	mRNA splicing, via spliceosome	BP
evm.model.HIC_ASM_1.4213_Akon	GO:0017070	U6 snRNA binding	MF
evm.model.HIC_ASM_1.4213_Akon	GO:0070122	isopeptidase activity	MF
evm.model.HIC_ASM_1.4213_Akon	GO:0030623	U5 snRNA binding	MF
evm.model.HIC_ASM_1.4213_Akon	GO:0005681	spliceosomal complex	CC
evm.model.HIC_ASM_4.13697_Akon	GO:0005737	cytoplasm	CC
evm.model.HIC_ASM_4.13697_Akon	GO:0003723	RNA binding	MF
evm.model.HIC_ASM_4.13697_Akon	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	BP
evm.model.CTG_12735.6_Akon	GO:0005737	cytoplasm	CC
evm.model.CTG_12735.6_Akon	GO:0003723	RNA binding	MF
evm.model.CTG_12735.6_Akon	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	BP
evm.model.HIC_ASM_11.888_Akon	GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	MF
evm.model.HIC_ASM_11.888_Akon	GO:0046872	metal ion binding	MF
evm.model.HIC_ASM_11.888_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_11.888_Akon	GO:0051539	4 iron, 4 sulfur cluster binding	MF
